winner,date,country
Italy,1934,Italy
Italy,1938,France
Italy,1982,Spain
Italy,2006,Germany
Uruguay,1930,Urugay
Uruguay,1950,Brazil
Germany,1954,Switzerland
Germany,1974,West Germany
Germany,1990,Italy
Germany,2014,Brazil
Brazil,1958,Sweden
Brazil,1962,Chile
Brazil,1970,Mexico
Brazil,1994,USA
Brazil,2002,Sth Korea & Japan
France,1998,France
England,1966,England
Argentina,1978,Argentina
Argentina,1986,Mexico
Spain,2010,South Africa
